## mrna and ribosome profiling read counts for S. pombe 972h- genes
## Duncan C and Mata J (2017) Effects of cycloheximide on the interpretation of ribosome profiling experiments in Schizosaccharomyces pombe. Scientific reports 7:10331
## personal communication by Juan Mata <jm593@cam.ac.uk>, 2019
## 
Gene	wt.noN.CHX.ribo.cds.1	wt.N.CHX.ribo.cds.1	wt.noN.noCHX.ribo.cds.1	wt.N.noCHX.ribo.cds.1	wt.noN.CHX.ribo.cds.3	wt.N.CHX.ribo.cds.3	wt.noN.noCHX.ribo.cds.3	wt.N.noCHX.ribo.cds.3	wt.noN.CHX.mrna.cds.1	wt.N.CHX.mrna.cds.1	wt.noN.noCHX.mrna.cds.1	wt.N.noCHX.mrna.cds.1	wt.noN.CHX.mrna.cds.3	wt.N.CHX.mrna.cds.3	wt.noN.noCHX.mrna.cds.3	wt.N.noCHX.mrna.cds.3
SPCC16A11.09c	2622	2880	232	1430	446	1144	177	592	331	946	246	422	1059	2043	700	1319
SPCC16A11.10c	4527	5036	854	3142	1003	2535	666	1056	271	627	237	389	984	1557	794	1211
SPCC16A11.11	598	416	37	147	117	190	31	66	80	140	67	78	304	359	226	253
SPCC16A11.12c	505	730	72	322	64	243	52	113	1439	2668	807	1160	1954	2661	1261	1581
SPCC16A11.13	899	753	144	308	187	222	106	142	779	1115	452	606	688	954	541	521
SPCC16A11.14	1655	1067	247	542	289	375	205	214	947	1325	521	579	1606	1763	941	1021
SPCC16A11.15c	6634	87	1561	42	350	36	248	18	1285	213	1441	119	1532	287	1228	278
SPCC16A11.16c	1561	1434	324	783	256	424	246	300	1411	2267	943	1101	1729	2491	1254	1535
SPCC16A11.17	1487	1387	269	770	260	539	231	274	1716	2966	967	1100	3718	4310	2038	2141
SPCC16C4.01	1135	667	168	329	207	243	117	121	593	838	335	289	1080	1086	766	542
SPCC16C4.02c	2625	1161	315	438	328	428	203	172	1604	1854	1162	669	3143	2502	1973	1134
SPCC16C4.03	1581	1025	262	496	242	286	162	172	323	431	244	190	754	842	599	687
SPCC16C4.04	218	275	29	124	43	118	26	42	198	379	159	215	488	640	347	351
SPCC16C4.05	224	146	9	95	50	48	10	38	222	457	136	221	271	434	124	256
SPCC16C4.06c	57	104	6	40	9	33	6	13	130	291	187	194	284	454	244	303
SPCC16C4.07	2699	2428	492	881	510	836	328	301	1015	2043	883	674	2388	2603	1114	1214
SPCC16C4.08c	601	1055	65	423	87	367	54	165	318	937	170	378	548	1135	324	644
SPCC16C4.09	6056	2535	1600	1131	902	908	949	409	3343	3427	2955	1253	7776	5112	4593	2896
SPCC16C4.10	7139	3338	1313	1756	1029	1306	859	800	823	995	831	482	2019	2089	1567	1391
SPCC16C4.11	2263	790	343	501	366	301	230	189	705	784	434	369	1293	1131	791	634
SPCC16C4.12	702	1040	114	470	139	315	126	189	424	732	242	272	1254	1422	856	815
SPCC16C4.13c	5496	18969	281	10525	703	8569	157	3652	488	2681	456	1436	1898	6976	1394	5805
SPCC16C4.14c	407	512	74	250	71	175	67	98	1816	3350	1053	1281	2270	2797	1368	1603
SPCC16C4.15	1399	618	208	536	191	243	117	227	348	682	213	310	918	1319	611	826
SPCC16C4.16c	773	629	71	319	173	273	107	110	415	640	277	302	629	819	504	464
SPCC16C4.17	429	235	51	64	63	100	48	30	427	582	218	197	613	605	307	252
SPCC16C4.18c	2283	1317	367	977	366	515	238	338	1252	1883	1151	1031	2588	2617	1920	1808
SPCC16C4.19	223	338	20	105	51	117	13	26	234	407	190	214	425	564	377	307
SPCC16C4.20c	332	296	44	162	106	125	48	90	131	205	103	105	205	280	168	216
SPCC16C4.21	8	6	0.5	3	2	1	5	0.5	4	8	2	2	5	8	1	4
SPCC16C4.22	188	200	76	117	68	76	43	36	67	132	51	83	124	182	116	118
SPCC1739.01	5382	2383	873	890	730	930	471	298	2826	2693	2348	1384	5562	3516	2564	2012
SPCC1739.02c	611	670	116	454	61	285	47	154	324	707	205	342	488	840	342	482
SPCC1739.03	431	307	79	129	66	117	50	66	1188	1560	794	586	2234	2013	1513	1051
SPCC1739.04c	1172	458	160	212	194	153	120	77	721	643	754	298	1586	894	1231	582
SPCC1739.05	193	516	25	221	27	173	25	87	438	1290	212	628	454	1216	239	602
SPCC1739.06c	570	1219	65	465	59	383	44	154	427	1666	375	1165	1041	2967	598	2346
SPCC1739.07	641	675	77	328	185	311	92	143	132	352	81	177	333	543	238	352
SPCC1739.08c	17569	695	3424	374	452	61	337	30	932	101	1370	60	694	67	420	65
SPCC1739.09c	5146	3083	1232	1910	1179	1202	882	845	963	1257	806	790	1139	1284	984	947
SPCC1739.10	5563	2027	911	871	934	719	608	295	1029	1203	960	463	2009	1327	926	749
SPCC1739.11c	555	583	122	319	106	226	69	126	1715	2839	1312	1518	2552	2943	1635	1895
SPCC1739.12	5247	2380	863	1246	841	851	599	560	728	736	554	369	1919	1556	1300	1055
SPCC1739.13	16331	199678	4486	109733	1474	66657	1484	34052	2831	33953	3047	21557	5672	54176	4095	49726
SPCC1739.14	2269	1567	460	841	406	575	392	327	2156	3145	1551	1395	4635	4307	3200	2511
SPCC1739.15	63	22	12	5	9	6	11	4	273	162	187	87	381	198	290	104
SPCC1742.01	87	145	4	15	26	70	3	21	688	1157	841	667	1716	1830	1263	1501
SPCC1753.01c	1942	1377	421	641	436	517	320	282	625	1126	519	494	1741	1968	1339	1250
SPCC1753.02c	352	187	36	65	38	88	23	26	842	1271	830	534	1660	1365	933	970
SPCC1753.03c	14	1	2	0.5	2	2	2	0.5	8	9	11	5	15	6	15	9
SPCC1753.04	1662	4062	252	2241	255	1452	195	962	351	1337	268	610	1151	3136	866	2296
SPCC1753.05	316	505	62	214	40	157	21	75	207	451	133	236	333	607	265	351
SPCC1795.01c	913	439	202	178	180	141	131	70	524	505	338	179	962	789	608	383
SPCC1795.02c	7036	4391	1115	1910	1120	1226	697	623	1028	1720	1215	802	3014	2504	2155	1780
SPCC1795.03	2491	1956	332	821	428	681	274	304	1042	1862	871	688	2752	2945	1852	1631
SPCC1795.04c	5638	2404	1204	1589	745	966	659	614	822	1087	721	541	2407	2421	1727	1730
SPCC1795.05c	5468	2614	1077	1106	1156	864	1069	487	894	928	748	494	2182	1423	1694	1023
SPCC1795.06	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	27	11	20	4	87	14	48	15
SPCC1795.07	1166	722	231	315	318	332	160	159	363	613	280	304	760	913	582	659
SPCC1795.08c	871	884	183	500	145	290	127	172	2371	4184	1508	1886	2778	3702	1793	1918
SPCC1795.09	60	144	9	57	6	49	6	25	329	741	212	290	743	1259	447	514
SPCC1795.10c	2320	1621	301	494	473	492	276	231	214	428	193	157	1179	1190	790	684
SPCC1795.11	4459	18702	779	10169	582	8317	582	4086	1964	8428	1126	3690	7855	20641	3708	14206
SPCC1795.12c	797	592	115	212	213	316	137	118	104	233	95	99	348	412	195	226
SPCC18.01c	41345	6324	12283	3035	9776	1977	10186	738	11688	5275	14946	2658	37381	8859	30709	5746
SPCC18.02	1155	1312	121	380	208	382	100	114	509	1045	429	323	2249	2208	1575	1086
SPCC18.03	791	918	151	587	71	368	64	209	1508	2710	824	1008	2880	3966	1459	2334
SPCC18.04	892	284	111	154	149	126	83	68	1597	1642	1142	727	2921	2187	2189	1265
SPCC18.05c	1074	1821	130	801	163	711	66	264	387	1052	190	362	1448	2328	634	1155
SPCC18.06c	1556	922	231	401	245	335	200	191	1162	1798	726	743	1781	1995	1083	944
SPCC18.07	1270	1210	157	528	206	390	121	197	460	1023	365	363	1212	1621	860	862
SPCC18.08	280	333	50	177	36	76	28	45	685	1392	445	689	1216	1998	731	1078
SPCC18.09c	899	303	148	104	167	106	96	45	535	387	426	179	903	485	619	292
SPCC18.10	948	661	185	305	119	214	135	120	513	936	365	470	918	1303	775	870
SPCC18.11c	660	675	70	208	103	253	39	46	362	902	338	355	759	1165	600	710
SPCC18.12c	547	1410	54	435	99	467	42	167	313	1130	165	481	484	1426	305	724
SPCC18.13	499	1093	66	541	69	404	46	207	330	1104	142	468	597	1492	305	712
SPCC18.14c	7853	51225	603	31989	1160	22417	406	11831	1744	10643	2341	6000	7508	20011	6418	16557
SPCC18.15	3008	2004	329	824	462	744	275	349	109	272	73	97	147	173	66	108
SPCC18.16c	1715	733	276	378	202	256	149	122	441	426	280	212	672	618	515	421
SPCC18.17c	1147	992	200	623	222	444	165	245	269	524	179	219	957	1061	546	687
SPCC18.18c	6055	5309	1470	2906	1280	2132	1216	978	1678	2672	1978	1420	3952	3871	2857	2784
SPCC18.19c	4	2	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	2	1	4	0.5	2	1
SPCC18.20	0.5	0.5	0.5	1	0.5	1	0.5	1	3	29	3	15	5	30	5	14
SPCC1827.01c	258	950	34	485	41	394	31	219	529	2283	277	1032	907	2750	611	1412
SPCC1827.02c	2179	1552	450	933	405	693	317	379	930	1586	630	727	1897	2515	1246	1383
SPCC1827.03c	5025	12126	1163	6059	776	4310	668	2045	947	3810	927	2183	2730	7085	1711	5495
SPCC1827.04	571	759	122	305	78	226	66	90	1522	2687	669	1129	1552	2402	898	1113
SPCC1827.05c	918	1927	118	1020	187	806	100	435	577	1680	286	870	1129	2445	465	1404
SPCC1827.06c	7764	15215	957	9232	1390	5712	1092	3557	1166	4858	1529	2626	3697	7349	2905	5841
SPCC1827.07c	698	293	93	123	115	92	84	48	1219	808	677	386	1972	1049	1312	493
SPCC1827.08c	518	321	75	94	60	92	43	48	405	393	301	195	857	694	602	364
SPCC1840.01c	1488	967	315	451	218	318	177	185	258	399	252	195	400	485	244	312
SPCC1840.02c	8326	12326	1914	5114	1700	3609	1934	1557	6682	13331	6054	6929	16014	18937	11304	14157
SPCC1840.03	2254	6113	278	2704	305	2070	201	1001	1649	5083	1082	2124	5075	9368	2556	6098
SPCC1840.04	1088	583	192	293	207	208	170	127	625	780	445	337	1431	1310	957	780
SPCC1840.05c	2108	3075	168	1657	318	1090	112	563	1471	2806	1083	1504	2351	3442	1900	2349
SPCC1840.06	13498	5700	2453	2916	2923	2093	2299	1189	602	733	647	407	2303	1568	1854	1096
SPCC1840.07c	1966	1301	337	938	403	412	348	343	560	1030	419	525	1462	1617	1213	1069
SPCC1840.08c	883	790	189	345	161	262	136	114	754	1307	600	630	1891	1879	1133	981
SPCC1840.09	1346	855	218	430	236	288	168	184	455	537	324	304	952	811	660	527
SPCC1840.10	654	519	91	207	168	190	63	99	308	480	131	211	278	421	192	251
SPCC1840.11	478	898	96	476	77	341	52	210	698	1313	474	790	851	1526	522	871
SPCC1840.12	50	142	6	95	4	9	2	4	281	418	242	183	748	667	593	392
SPCC188.02	1494	1290	255	665	198	495	186	251	881	2117	861	1016	1743	2101	1071	1285
SPCC188.03	947	897	168	446	158	258	139	159	1371	2324	923	1015	2073	2478	1450	1404
SPCC188.04c	447	512	57	220	66	171	46	77	260	507	168	309	326	530	253	330
SPCC188.05	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	2	3	0.5	2	6	4	3	3
SPCC188.06c	2549	3710	337	1684	490	1327	324	697	1279	2639	887	1120	2777	3884	1955	2524
SPCC188.07	1393	910	240	436	191	314	145	153	1229	1841	949	797	2034	2145	1263	1069
SPCC188.08c	3433	1317	867	640	515	454	460	222	3327	3301	2337	1445	5069	4378	3478	2577
SPCC188.09c	8	4	0.5	3	2	2	0.5	1	857	1304	602	605	1348	1420	957	805
SPCC188.10c	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5
SPCC188.11	1081	944	180	435	159	375	119	166	861	1670	569	574	1962	2429	1034	1178
SPCC188.12	32	10	7	5	8	10	8	12	37	28	17	2	74	45	48	14
SPCC188.13c	144	85	34	31	19	22	23	11	1474	1787	1154	862	2468	2209	1856	1418
SPCC188.14	27	5	3	0.5	10	0.5	2	1	47	106	53	42	186	163	113	86
SPCC1884.01	41	30	5	16	17	17	9	6	172	190	128	79	308	247	218	159
SPCC1884.02	2473	514	347	335	325	183	317	110	1318	577	1142	293	3410	1007	2552	660
SPCC18B5.01c	24874	8433	6318	3957	1404	2686	1467	920	16302	9420	11289	4603	13617	15604	7765	7642
SPCC18B5.02c	10173	245	772	93	184	35	63	8	3335	378	1765	142	1177	217	453	91
SPCC18B5.03	1751	517	247	149	214	176	163	44	881	1076	549	289	1207	842	520	385
SPCC18B5.04	886	716	114	531	186	272	93	163	249	602	202	305	440	687	310	510
SPCC18B5.05c	1588	1233	198	486	193	543	155	160	785	1397	685	535	1854	2226	1104	1083
SPCC18B5.06	1456	805	168	422	130	257	112	154	586	735	377	342	767	874	503	448
SPCC18B5.07c	1479	2538	383	1513	283	990	231	584	2160	3959	1560	2122	3170	4719	2235	2910
SPCC18B5.08c	742	604	113	327	103	160	83	116	727	1328	456	528	1747	2227	1097	1142
SPCC18B5.09c	246	158	16	37	38	49	18	25	211	296	163	142	427	414	323	238
SPCC18B5.10c	1147	760	90	402	134	283	63	162	257	384	188	172	656	780	538	457
SPCC18B5.11c	1845	811	350	400	332	257	262	157	1894	1358	1515	738	2749	1559	2213	1025
SPCC1902.01	1481	2922	412	1171	213	1039	218	403	2982	5515	3298	2226	4435	5218	3073	2587
SPCC1902.02	775	1113	124	439	126	417	106	155	361	871	360	324	1078	1410	707	802
SPCC1906.01	17681	13735	3259	9544	3671	6551	2548	3475	1727	3570	1680	1982	6015	7319	4455	5695
SPCC1906.02c	809	462	33	267	125	181	28	96	1543	1851	1591	1139	2924	2622	2661	1660
SPCC1906.03	422	98	42	29	55	27	42	10	388	219	245	103	604	271	403	110
SPCC1906.04	109	39	16	16	14	7	9	5	117	71	69	31	145	64	111	44
SPCC191.01	7883	408	1708	213	833	136	736	75	999	113	1046	69	2328	262	1902	306
SPCC191.02c	7937	10227	1779	4803	1669	4475	1552	1797	1238	2755	1386	1378	5528	6838	3605	5411
SPCC191.03c	365	25	26	34	172	21	31	49	216	318	169	234	291	373	235	368
SPCC191.04c	1	0.5	0.5	0.5	0.5	1	0.5	0.5	2	5	2	3	6	4	13	2
SPCC191.05c	2155	78	436	42	879	37	749	18	243	30	219	10	1835	103	1474	57
SPCC191.06	2	1	0.5	0.5	1	0.5	2	0.5	286	40	339	35	613	37	512	33
SPCC191.07	17133	7674	4584	4423	2409	2839	2342	1659	1073	1188	1097	651	3065	2433	1963	2058
SPCC191.08	329	218	23	115	70	53	15	51	263	553	149	349	193	445	124	280
SPCC191.09c	38	16	3	4	6	7	5	1	18	28	13	12	44	71	34	24
SPCC191.10	1	0.5	1	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	1	0.5	0.5	1
SPCC191.11	3335	65	1093	46	98	19	83	10	1309	89	1662	40	569	74	360	52
SPCC1919.01	614	282	90	124	78	106	48	48	637	632	414	331	896	824	724	447
SPCC1919.02	384	428	73	172	71	111	59	87	275	578	212	238	552	811	388	470
SPCC1919.03c	4804	1533	935	817	1074	687	772	311	1176	1256	1141	584	3027	2037	2379	1420
SPCC1919.04	1422	448	207	168	252	123	117	52	284	301	204	108	847	579	522	284
SPCC1919.05	753	847	110	414	98	288	107	160	1609	2795	1036	1290	2865	3994	2031	2346
SPCC1919.06c	62	71	9	16	22	17	12	8	293	203	184	122	519	244	352	137
SPCC1919.07	243	117	26	84	36	43	20	56	167	288	125	187	277	411	200	272
SPCC1919.08c	498	341	55	172	137	144	89	81	33	65	24	27	144	173	58	114
SPCC1919.09	5207	4207	599	2627	893	1877	464	1178	532	1445	406	654	1725	3283	1183	2388
SPCC1919.10c	1728	1195	391	499	280	388	302	191	2329	3252	1584	1370	4207	4594	2825	2579
SPCC1919.11	0.5	3	0.5	0.5	0.5	1	0.5	1	2	10	3	6	2	11	8	5
SPCC1919.12c	2695	1073	619	417	441	327	434	150	1274	1282	1073	561	3136	1871	2160	1187
SPCC1919.13c	158	349	11	167	40	120	13	53	197	789	111	478	271	829	192	506
SPCC1919.14c	318	407	66	193	50	137	39	60	547	948	253	359	894	1192	461	499
SPCC1919.15	598	750	136	339	137	265	103	148	2052	3371	1159	1589	2514	3093	1471	1414
SPCC23B6.01c	10008	5950	1875	2678	1287	1920	1181	1036	3750	4503	3386	2185	8045	7374	6718	5212
SPCC23B6.02c	491	389	61	193	129	158	46	74	236	363	97	182	267	394	180	200
SPCC23B6.03c	173	110	35	43	31	42	27	16	1700	2334	1357	1111	3225	2582	2523	1697
SPCC23B6.04c	2407	3020	657	1514	444	1112	506	556	4018	6518	3242	3079	9488	9299	6332	5897
SPCC23B6.05c	586	544	81	239	106	234	82	94	12	39	7	21	67	117	35	81
SPCC24B10.02c	1472	373	158	190	139	138	100	54	1164	800	1001	311	2565	1261	1748	658
SPCC24B10.03	282	124	36	93	81	64	40	38	23	25	19	27	72	61	61	29
SPCC24B10.04	577	722	58	330	106	260	44	96	131	292	126	170	338	456	208	293
SPCC24B10.05	1268	1583	133	698	313	634	138	295	125	355	101	192	247	564	190	417
SPCC24B10.06	2291	1512	336	772	282	599	191	264	236	467	236	221	602	734	390	485
SPCC24B10.07	3259	1292	498	478	471	468	333	217	2030	2272	1840	832	3877	3092	2787	1436
SPCC24B10.08c	413	307	32	163	44	127	14	86	294	731	199	360	518	946	269	593
SPCC24B10.09	3475	4311	137	10544	858	2917	117	4904	429	2915	471	1596	1826	6845	1431	5915
SPCC24B10.10c	1716	864	295	387	279	290	187	161	500	649	332	261	1212	1183	755	578
SPCC24B10.11c	748	693	80	281	192	264	72	119	305	561	232	309	454	741	369	455
SPCC24B10.12	959	465	107	203	184	156	100	84	314	403	175	142	478	469	331	285
SPCC24B10.13	29	105	2	29	4	88	4	6	347	513	209	147	717	879	468	474
SPCC24B10.14c	126	34	21	17	30	20	13	9	64	59	33	28	128	94	96	72
SPCC24B10.15	76	329	16	116	11	114	13	58	273	824	249	418	750	1288	397	883
SPCC24B10.16c	384	262	58	115	74	120	34	49	62	104	50	49	246	213	128	136
SPCC24B10.17	1912	1370	260	819	478	592	290	405	508	1002	401	473	1435	1891	1092	1333
SPCC24B10.18	246	515	39	227	67	325	18	112	305	832	134	388	330	853	183	443
SPCC24B10.19c	326	415	71	269	55	171	52	97	944	1736	596	797	1262	1644	807	862
SPCC24B10.20	494	261	50	118	68	99	37	52	147	193	70	91	347	365	241	253
SPCC24B10.21	62627	90522	10597	55409	12093	36053	6447	20048	2734	8253	2908	5134	12528	22149	10147	19199
SPCC24B10.22	52	183	9	101	9	72	8	36	356	1736	238	646	807	2619	554	1494
SPCC285.03	1172	1092	74	673	147	448	71	289	868	2059	722	940	2360	3463	1858	2402
SPCC285.04	1764	306	367	166	369	137	267	76	394	190	325	97	1616	518	1066	400
SPCC285.05	5127	677	1078	505	2365	439	2081	272	1410	446	1050	291	6587	1093	4808	764
SPCC285.06c	28	17	4	10	4	9	1	2	137	100	130	52	266	130	177	89
SPCC285.07c	266	54	26	12	28	10	28	3	119	81	85	28	229	130	131	43
SPCC285.08	4456	2803	431	1328	816	1145	349	582	880	1369	797	713	1726	1987	1381	1380
SPCC285.09c	1795	374	186	210	310	204	146	75	789	717	801	357	1698	859	935	463
SPCC285.10c	1583	535	258	141	278	170	178	54	681	603	541	177	1756	1133	1149	455
SPCC285.11	6467	1168	1187	564	1345	368	1165	194	1002	703	1077	205	3518	1438	2701	746
SPCC285.12	2261	1930	296	1154	566	1003	234	576	788	1332	604	855	1420	2039	1055	1534
SPCC285.13c	2484	2976	532	1511	438	1064	335	507	1714	3409	1126	1610	3931	5161	2083	3014
SPCC285.14	1089	648	186	315	188	213	153	142	1653	2043	997	1014	2724	2570	1706	1476
SPCC285.15c	3835	6715	224	5590	754	3568	106	2265	28	257	18	98	150	805	85	628
SPCC285.16c	731	828	126	540	160	326	125	159	1232	2926	782	1166	2701	4094	1633	2160
SPCC285.17	4043	3286	814	1772	1076	1124	852	635	1416	2565	1164	1307	2356	2723	1874	1736
SPCC290.02	534	740	23	358	78	296	12	146	155	839	131	373	497	1412	289	737
SPCC290.03c	1325	2048	223	958	227	663	248	366	2209	4975	1491	2246	4409	6044	2781	3773
SPCC290.04	2900	720	293	318	716	303	343	130	1787	1761	1252	718	4530	2089	2642	1052
SPCC297.03	2551	1038	377	392	355	392	213	178	2264	2707	1835	1158	5579	4200	3361	2555
SPCC297.04c	37	321	3	102	4	122	1	49	21	221	6	92	15	312	19	220
SPCC297.05	134	385	22	151	20	127	16	53	1370	3244	1316	1582	2353	3889	1778	2170
SPCC297.06c	110	256	9	58	7	86	6	16	423	918	270	429	429	787	344	443
SPCC2H8.02	468	833	46	326	59	223	46	115	216	671	226	283	832	1147	461	679
SPCC2H8.04	123	79	5	41	23	23	14	16	184	322	106	203	268	448	211	276
SPCC2H8.05c	186	248	14	75	15	110	4	18	368	729	266	369	649	923	505	598
SPCC306.02c	3109	2948	408	1187	616	1045	407	488	118	287	85	125	675	885	419	524
SPCC306.03c	1654	756	385	490	329	289	308	214	1102	1572	653	541	2724	2718	1656	1298
SPCC306.04c	339	828	62	382	43	279	49	131	1751	3511	1238	1399	3350	4919	2494	2499
SPCC306.05c	2689	997	373	309	600	299	380	147	546	559	413	211	1608	980	1095	473
SPCC306.06c	2906	2339	653	1134	471	740	445	390	1035	1616	903	931	2269	2364	1675	1605
SPCC306.07c	369	516	28	206	56	172	24	89	327	685	159	299	532	851	253	331
SPCC306.08c	29647	5399	8168	2639	2717	1688	2742	914	2817	1436	3424	719	8485	4049	6797	3215
SPCC306.09c	11161	7338	2853	4173	1905	2770	1837	1534	2993	4082	2998	2383	5792	5756	4276	4030
SPCC306.10	51	14	3	6	20	16	6	6	182	105	133	56	393	171	282	98
SPCC306.11	11645	3469	1942	1636	2420	1424	1980	601	1687	1174	1811	717	3991	1645	2265	1042
SPCC31H12.02c	2	8	0.5	1	0.5	1	0.5	3	57	57	63	13	402	122	246	62
SPCC31H12.03c	2718	1434	603	862	502	568	467	334	1608	2123	1156	1018	2385	2273	1729	1440
SPCC31H12.04c	5144	18845	275	10595	640	8653	161	3875	520	2841	467	1441	1908	7083	1346	5895
SPCC31H12.05c	1466	1333	175	628	290	565	184	295	193	477	153	252	777	1138	529	732
SPCC31H12.06	199	665	17	225	15	245	12	67	272	913	315	367	832	1487	439	771
SPCC31H12.07	6323	6183	1349	3365	1102	2521	940	1254	2128	4561	2294	2410	5344	6773	3731	4941
SPCC31H12.08c	3702	1743	591	969	877	746	658	460	2150	3219	1838	1337	7357	6111	5673	3527
SPCC320.03	2223	1202	428	426	252	416	173	116	2021	1686	2273	631	2975	2114	1595	1013
SPCC320.04c	631	586	84	261	117	220	65	104	741	961	617	504	1306	1194	1038	764
SPCC320.05	4304	1040	720	415	546	293	356	120	2607	1359	2595	533	6501	2087	4829	1394
SPCC320.06	1197	597	84	291	167	213	53	93	538	707	438	288	1192	897	1064	532
SPCC320.07c	1	1	0.5	0.5	0.5	0.5	0.5	0.5	1	9	2	4	1	4	0.5	0.5
SPCC320.08	1390	2560	195	1204	196	885	185	432	778	3043	355	925	2283	5361	1028	2082
SPCC320.09	411	390	110	239	80	169	64	97	92	234	91	85	344	630	238	353
SPCC320.10	2663	2627	469	1479	451	973	294	706	1131	2419	804	1160	2563	3682	1790	2297
SPCC320.11c	547	1618	54	881	82	804	28	275	71	401	45	118	288	917	136	502
SPCC320.12	169	287	20	117	34	104	27	46	58	151	41	75	139	230	79	131
SPCC320.13c	471	315	69	133	95	109	61	58	466	670	181	228	661	785	300	268
SPCC320.14	1631	452	209	236	357	214	255	126	910	558	634	303	2020	882	1487	600
SPCC330.01c	1572	340	322	196	217	106	183	73	2069	1684	1247	750	3621	2049	2137	1264
SPCC330.02	1564	451	242	169	214	170	136	69	1355	841	836	290	2063	1147	1205	494
SPCC330.03c	1782	1192	324	591	449	423	298	190	168	275	122	128	511	505	379	275
SPCC330.04c	744	404	169	227	99	110	94	52	669	603	366	375	454	406	391	242
SPCC330.05c	1634	2891	306	1720	242	1060	214	726	234	768	168	351	695	1813	500	1247
SPCC330.06c	17681	17825	4169	11583	1952	7342	1889	3986	1051	2061	1153	1519	4469	6810	3215	6689
SPCC330.07c	148	630	18	237	18	222	9	81	220	1404	148	627	338	1865	259	1019
SPCC330.08	3026	2080	643	1025	463	610	504	356	1002	1424	736	564	2763	2452	1849	1411
SPCC330.09	604	2056	79	979	90	723	42	386	987	2763	394	1005	1452	3628	580	1433
SPCC330.10	955	733	146	238	147	189	85	62	667	984	497	415	1191	1177	938	545
SPCC330.11	444	260	81	129	61	101	51	48	3844	4099	2545	1562	5868	4684	3865	2413
SPCC330.12c	10343	5570	2256	2464	2410	2135	2074	1172	403	816	672	358	1934	1467	1336	1093
SPCC330.13	471	613	77	266	85	200	38	122	465	1083	295	549	670	1184	408	690
SPCC330.14c	6735	21059	335	12202	1141	8236	180	4324	314	2607	261	1203	1595	7282	1096	5727
SPCC330.19c	82	8	11	8	17	7	10	4	37	37	32	21	138	64	105	40
SPCC330.20	755	544	189	339	193	223	139	127	50	77	33	44	200	206	124	140
SPCC330.21	246	80	29	27	51	23	15	12	60	81	45	36	145	153	118	104
SPCC338.02	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	1	0.5
SPCC338.03c	1	0.5	0.5	0.5	0.5	1	0.5	0.5	13	21	8	12	58	70	50	37
SPCC338.04	512	447	72	218	99	140	63	80	168	272	114	141	339	447	195	266
SPCC338.05c	3076	2004	571	1202	534	700	409	447	396	679	358	386	1113	1294	851	1022
SPCC338.06c	1093	852	155	471	277	265	157	198	338	439	225	271	622	745	500	657
SPCC338.07c	1674	2690	338	1770	285	1030	195	668	1218	2924	787	1409	2901	5467	2032	3549
SPCC338.08	827	93	64	43	77	35	36	18	1241	677	919	396	1612	809	1185	546
SPCC338.10c	10069	7437	1957	4105	1417	2782	1325	1703	824	1521	867	768	2679	3395	1917	2393
SPCC338.11c	223	1080	21	339	36	371	4	150	237	981	182	491	485	1356	390	887
SPCC338.12	43183	956	12316	988	7091	443	6400	379	1637	131	1794	107	3708	349	3104	393
SPCC338.13	553	601	93	279	135	254	73	127	774	1502	537	550	1701	1993	1024	1072
SPCC338.14	13484	11864	3196	7280	2129	4648	2069	2687	1336	3293	1609	1637	4927	6959	3688	5400
SPCC338.15	5818	5444	775	2871	967	2126	570	976	1087	2528	1240	1269	2458	3136	1693	2123
SPCC338.16	301	297	38	118	43	112	43	66	367	719	200	248	754	918	375	393
SPCC338.17c	2170	1024	581	481	436	338	422	174	1078	1263	929	531	2959	1882	1966	1046
SPCC338.18	646	24	119	22	79	6	68	2	87	2	72	5	140	9	85	12
SPCC364.01	134	262	12	143	17	116	15	44	82	371	41	119	293	697	114	334
SPCC364.02c	815	115	118	86	155	34	93	23	884	727	602	304	1388	752	835	437
SPCC364.03	4668	19359	304	9645	896	9284	183	3819	348	2841	330	1320	1401	6830	893	5209
SPCC364.04c	953	730	155	371	134	234	103	143	1027	1793	538	674	1649	2555	901	1217
SPCC364.05	706	359	136	154	102	136	114	73	1182	1241	874	558	1739	1452	1120	786
SPCC364.06	6381	9431	1240	5013	895	3069	810	1905	1824	4215	1241	2115	4332	6729	2704	4805
SPCC364.07	9102	26143	1673	15661	1474	12412	1097	5864	1065	5782	1482	3041	5911	15354	4023	11986
SPCC417.02	84	61	11	19	14	32	4	5	281	48	392	18	809	75	690	52
SPCC417.03	3	14	0.5	6	1	2	0.5	1	1	15	4	8	12	13	12	8
SPCC417.04	97	2	3	1	17	1	4	0.5	222	38	129	19	384	57	250	30
SPCC417.05c	7604	784	1500	466	1096	260	957	180	2924	1059	2046	477	6038	1714	4061	1019
SPCC417.06c	1	0.5	161	50	0.5	1	0.5	1	4	4	1	3	10	13	6	5
