# scores_kozak_Ca.txt
# Scores of ATG context against Kozak sequence, Candida albicans
# Kozak sequence derived from 400 highest-translated genes by RPF
#
# Gene: Ca systematic gene name
# aATG.scorekn: score of annotated ATG against narrow Kozak sequence (NNNNATG)
# d1.scorekn: score of 1st downstream ATG against narrow
# xx.scorekw: analogous scores against wide Kozak sequence (NNNNNNNNNNATG)
#
# Edward Wallace, Oct 2018
Gene	aATG.scorekn	d1.scorekn	aATG.scorekw	d1.scorekw	d1vsan	d1vsaw
C6_01790C_A	0.829	0.882	0.761	0.857	0.053	0.096
C6_01810W_A	0.886	0.91	0.822	0.808	0.024	-0.014
C6_01820C_A	0.854	0.811	0.857	0.767	-0.043	-0.09
C6_01830W_A	0.775	0.75	0.727	0.746	-0.025	0.019
C6_01840C_A	0.932	NA	0.885	NA	NA	NA
C6_01850W_A	0.912	0.841	0.909	0.657	-0.071	-0.252
C6_01860C_A	0.968	0.863	0.925	0.86	-0.105	-0.065
C6_01870C_A	0.926	0.861	0.925	0.828	-0.065	-0.097
C6_01880W_A	0.834	0.741	0.853	0.7	-0.093	-0.153
C6_01890C_A	0.94	0.783	0.896	0.796	-0.157	-0.1
C6_01900C_A	0.843	0.75	0.86	0.746	-0.093	-0.114
C6_01910W_A	0.943	0.806	0.907	0.852	-0.137	-0.054
C6_01920C_A	0.913	0.866	0.919	0.794	-0.048	-0.125
C6_01930W_A	0.967	0.82	0.966	0.814	-0.147	-0.151
C6_01940W_A	0.967	0.888	0.921	0.84	-0.078	-0.081
C6_01950C_A	0.945	0.82	0.898	0.72	-0.125	-0.178
C6_01960W_A	0.954	0.889	0.873	0.792	-0.065	-0.081
C6_01970C_A	0.998	0.7	0.976	0.715	-0.299	-0.261
C6_01980C_A	0.959	1	0.872	0.907	0.041	0.035
C6_01990W_A	0.855	0.88	0.871	0.823	0.025	-0.048
C6_02000W_A	0.912	0.758	0.926	0.742	-0.154	-0.183
C6_02010C_A	0.968	0.954	0.957	0.828	-0.014	-0.129
C6_02020C_A	0.959	0.885	0.924	0.902	-0.074	-0.022
C6_02030C_A	0.94	0.816	0.903	0.728	-0.124	-0.175
C6_02040W_A	0.909	0.91	0.866	0.847	0.001	-0.019
C6_02050W_A	0.91	0.867	0.837	0.808	-0.043	-0.029
C6_02060W_A	0.873	0.866	0.817	0.842	-0.007	0.025
C6_02070C_A	0.998	0.724	0.993	0.781	-0.274	-0.211
C6_02080W_A	0.909	0.846	0.866	0.84	-0.063	-0.026
C6_02090C_A	0.825	NA	0.826	NA	NA	NA
C6_02100W_A	0.918	0.774	0.909	0.759	-0.144	-0.15
C6_02110W_A	0.936	0.793	0.897	0.79	-0.143	-0.107
C6_02120W_A	0.998	0.83	0.968	0.833	-0.168	-0.135
C6_02130C_A	0.94	0.829	0.916	0.727	-0.111	-0.189
C6_02140W_A	0.831	0.846	0.838	0.857	0.015	0.02
C6_02150C_A	0.87	0.831	0.85	0.778	-0.039	-0.071
C6_02160W_A	0.88	0.734	0.836	0.743	-0.146	-0.093
C6_02170C_A	0.831	0.877	0.806	0.871	0.046	0.064
C6_02180W_A	0.942	0.733	0.862	0.767	-0.208	-0.095
C6_02190C_A	0.91	0.879	0.846	0.872	-0.031	0.026
C6_02200C_A	0.967	0.843	0.959	0.836	-0.124	-0.122
C6_02210W_A	0.821	0.813	0.814	0.79	-0.008	-0.025
C6_02220W_A	0.959	0.846	0.928	0.792	-0.113	-0.136
C6_02230W_A	0.916	0.912	0.824	0.896	-0.005	0.072
C6_02240C_A	0.95	0.94	0.947	0.887	-0.01	-0.059
C6_02250W_A	0.945	0.807	0.937	NA	-0.138	NA
C6_02260C_A	0.914	0.7	0.886	0.724	-0.214	-0.162
C6_02270C_A	0.998	0.734	0.927	0.736	-0.264	-0.191
C6_02280W_A	0.918	0.905	0.87	0.932	-0.014	0.062
C6_02290C_A	0.903	0.718	0.838	0.759	-0.184	-0.08
C6_02300C_A	0.903	0.855	0.889	0.859	-0.047	-0.03
C6_02310W_A	0.991	0.832	0.948	0.732	-0.159	-0.216
C6_02320C_A	0.902	NA	0.897	NA	NA	NA
C6_02330W_A	0.942	0.863	0.928	0.857	-0.078	-0.071
C6_02340W_A	0.918	0.855	0.889	0.819	-0.063	-0.07
C6_02350C_A	0.766	0.843	0.67	0.86	0.077	0.19
C6_02360W_A	0.886	0.825	0.868	0.812	-0.061	-0.056
C6_02370C_A	0.866	0.861	0.849	0.849	-0.004	-0
C6_02380W_A	0.871	0.866	0.782	0.82	-0.006	0.038
C6_02410W_A	0.691	0.959	0.709	0.88	0.268	0.171
C6_02420W_A	0.877	0.871	0.857	0.832	-0.006	-0.025
C6_02430W_A	0.813	0.815	0.772	0.795	0.002	0.023
C6_02440C_A	0.833	0.932	0.824	0.883	0.1	0.06
C6_02450W_A	0.945	0.95	0.849	0.922	0.005	0.073
C6_02460C_A	0.866	0.863	0.855	0.857	-0.002	0.002
C6_02470W_A	0.916	0.75	0.78	0.786	-0.166	0.005
C6_02480W_A	0.959	0.775	0.943	0.788	-0.184	-0.155
C6_02490C_A	0.921	0.797	0.847	0.754	-0.123	-0.093
C6_02500C_A	1	0.718	0.93	0.705	-0.282	-0.225
C6_02510C_A	0.926	0.793	0.883	0.768	-0.134	-0.115
C6_02520W_A	0.967	NA	0.923	NA	NA	NA
C6_02530C_A	0.95	0.825	0.925	0.83	-0.124	-0.096
C6_02540C_A	0.805	0.866	0.675	0.829	0.06	0.153
C6_02550W_A	0.943	0.847	0.9	0.824	-0.096	-0.076
C6_02560W_A	0.942	0.807	0.91	0.794	-0.134	-0.117
C6_02570C_A	0.954	0.863	0.872	0.826	-0.091	-0.045
C6_02580W_A	0.871	0.903	0.84	0.812	0.032	-0.028
C6_02590C_A	0.855	0.991	0.854	0.97	0.136	0.116
C6_02600W_A	0.866	0.709	0.862	0.692	-0.156	-0.17
C6_02610C_A	0.959	0.783	0.922	0.794	-0.176	-0.128
C6_02620C_A	0.943	0.792	0.943	0.811	-0.151	-0.132
C6_02630C_A	0.968	0.834	0.906	0.778	-0.134	-0.129
C6_02640C_A	0.94	0.912	0.891	0.877	-0.028	-0.015
C6_02650C_A	0.968	0.796	0.964	0.81	-0.171	-0.153
C6_02660C_A	0.932	0.773	0.91	0.833	-0.16	-0.077
C6_02670C_A	0.801	0.998	0.694	0.891	0.197	0.197
C6_02680W_A	0.871	0.95	0.823	0.954	0.079	0.131
C6_02690C_A	0.866	0.856	0.836	0.788	-0.009	-0.048
C6_02710C_A	0.998	0.82	0.947	0.85	-0.179	-0.097
C6_02720C_A	0.796	0.841	0.783	0.801	0.045	0.017
C6_02730W_A	0.94	0.796	0.918	NA	-0.144	NA
C6_02740W_A	0.912	0.744	0.87	0.733	-0.168	-0.137
C6_02750C_A	0.848	0.887	0.788	0.86	0.039	0.072
C6_02760W_A	1	0.866	0.958	0.862	-0.134	-0.096
C6_02770W_A	0.998	0.774	0.983	0.731	-0.225	-0.252
C6_02780C_A	0.94	0.942	0.92	0.869	0.002	-0.051
C6_02790C_A	0.81	0.852	0.768	0.784	0.043	0.016
C6_02800W_A	0.998	0.886	0.915	0.841	-0.112	-0.074
C6_02810C_A	0.889	0.917	0.877	0.847	0.028	-0.03
C6_02820W_A	0.797	0.691	0.824	0.617	-0.106	-0.207
C6_02830W_A	0.967	0.839	0.939	0.837	-0.128	-0.102
C6_02840C_A	0.913	0.734	0.917	0.727	-0.179	-0.19
C6_02850W_A	0.932	0.977	0.849	0.931	0.044	0.082
C6_02860W_A	0.775	0.917	0.819	0.925	0.142	0.106
C6_02870W_A	0.959	0.784	0.937	0.728	-0.176	-0.209
C6_02880W_A	0.968	0.831	0.867	0.727	-0.137	-0.14
C6_02890C_A	0.889	0.821	0.911	0.725	-0.068	-0.186
C6_02900C_A	0.94	0.843	0.856	0.82	-0.097	-0.036
C6_02910W_A	0.846	0.926	0.847	0.906	0.081	0.059
C6_02920C_A	0.945	0.889	0.925	0.87	-0.056	-0.055
C6_02930W_A	0.967	0.718	0.879	0.737	-0.248	-0.142
C6_02940C_A	0.848	0.991	0.842	0.902	0.143	0.06
C6_02950C_A	0.952	0.843	0.863	0.868	-0.109	0.004
C6_02960W_A	0.895	0.775	0.905	0.811	-0.121	-0.094
C6_02970C_A	0.945	0.918	0.888	0.858	-0.027	-0.031
C6_02980C_A	0.803	0.887	0.833	0.824	0.085	-0.01
C6_02990W_A	0.853	0.998	0.858	0.986	0.145	0.128
C6_03000C_A	0.807	0.847	0.779	0.827	0.04	0.047
C6_03010W_A	0.959	0.912	0.874	0.872	-0.048	-0.002
C6_03020W_A	0.796	0.918	0.783	0.756	0.122	-0.028
C6_03030W_A	0.998	0.82	0.947	0.85	-0.179	-0.097
C6_03040C_A	0.833	0.847	0.84	0.833	0.014	-0.008
C6_03050C_A	1	0.87	0.926	0.876	-0.13	-0.05
C6_03060W_A	0.954	0.801	0.909	0.786	-0.153	-0.123
C6_03070C_A	0.945	0.819	0.922	0.839	-0.126	-0.083
C6_03080C_A	0.932	0.942	0.921	0.901	0.009	-0.02
C6_03090W_A	0.916	0.877	0.918	0.819	-0.039	-0.1
C6_03100W_A	0.991	0.829	0.976	0.811	-0.162	-0.165
C6_03110C_A	0.909	0.959	0.883	0.934	0.05	0.051
C6_03120W_A	0.807	0.75	0.798	0.694	-0.057	-0.104
C6_03130W_A	0.871	0.95	0.862	0.922	0.079	0.06
C6_03140C_A	0.75	0.741	0.775	0.791	-0.009	0.016
C6_03150C_A	0.824	0.856	0.776	0.811	0.032	0.035
C6_03160C_A	0.88	0.835	0.828	0.828	-0.045	-0
C6_03170C_A	0.968	0.743	0.889	0.751	-0.224	-0.138
C6_03180C_A	0.834	0.903	0.8	0.885	0.069	0.084
C6_03190C_A	0.967	0.977	0.91	0.927	0.01	0.017
C6_03200W_A	0.945	0.926	0.901	0.82	-0.019	-0.081
C6_03210C_A	0.959	0.815	0.915	NA	-0.144	NA
C6_03220W_A	0.968	0.863	0.908	0.775	-0.105	-0.134
C6_03230W_A	0.886	NA	0.864	NA	NA	NA
C6_03240W_A	0.95	0.775	0.895	0.8	-0.174	-0.096
C6_03250W_A	0.945	0.821	0.782	0.85	-0.125	0.068
C6_03260W_A	0.853	0.801	0.857	0.714	-0.052	-0.143
C6_03270C_A	0.847	0.7	0.863	0.698	-0.147	-0.165
C6_03280W_A	0.864	0.877	0.86	0.873	0.013	0.013
C6_03290W_A	0.879	0.863	0.818	0.765	-0.016	-0.053
C6_03300C_A	0.862	0.894	0.854	0.848	0.032	-0.006
C6_03310W_A	0.952	0.856	0.897	0.823	-0.096	-0.075
C6_03320W_A	0.942	0.733	0.887	0.757	-0.208	-0.13
C6_03330C_A	0.922	0.843	0.864	0.815	-0.08	-0.049
C6_03340C_A	0.871	0.846	0.846	0.793	-0.025	-0.053
C6_03350C_A	1	0.734	0.96	0.76	-0.266	-0.2
C6_03360C_A	0.916	0.833	0.904	0.779	-0.083	-0.124
C6_03370W_A	0.888	0.998	0.847	0.963	0.11	0.116
C6_03380W_A	0.913	0.82	0.844	0.81	-0.094	-0.034
C6_03390W_A	0.967	0.724	0.923	0.751	-0.243	-0.171
C6_03400C_A	0.859	0.819	0.867	0.709	-0.04	-0.158
C6_03410C_A	0.932	0.722	0.843	0.764	-0.21	-0.078
C6_03420W_A	0.942	0.834	0.925	0.795	-0.108	-0.13
C6_03430C_A	0.824	0.959	0.856	0.925	0.135	0.068
C6_03440W_A	0.855	0.904	0.733	0.829	0.048	0.096
C6_03450C_A	0.91	0.86	0.846	0.856	-0.05	0.01
C6_03460W_A	0.877	0.841	0.881	0.869	-0.036	-0.012
C6_03470W_A	0.967	0.998	0.934	0.939	0.032	0.005
C6_03480W_A	0.968	0.821	0.86	0.82	-0.147	-0.039
C6_03490C_A	0.998	0.733	0.949	0.789	-0.265	-0.16
C6_03500C_A	0.998	0.82	0.947	0.85	-0.179	-0.097
C6_03510C_A	0.738	0.998	0.687	0.931	0.261	0.244
C6_03520C_A	0.796	0.918	0.783	0.756	0.122	-0.028
C6_03530C_A	0.819	0.945	0.753	0.87	0.126	0.117
C6_03540W_A	0.854	0.863	0.801	0.746	0.009	-0.054
C6_03550C_A	0.921	0.945	0.931	0.897	0.024	-0.034
C6_03560W_A	0.918	0.889	0.936	0.785	-0.029	-0.151
C6_03570W_A	0.805	0.952	0.852	0.895	0.147	0.043
C6_03580W_A	0.926	0.783	0.904	0.666	-0.143	-0.237
C6_03590C_A	0.977	0.843	0.929	0.843	-0.134	-0.086
C6_03600C_A	0.854	0.866	0.82	0.815	0.012	-0.004
C6_03610W_A	0.819	0.914	0.762	0.826	0.095	0.064
C6_03620C_A	0.968	1	0.932	0.905	0.032	-0.027
C6_03630W_A	0.88	0.773	0.892	0.729	-0.107	-0.162
C6_03640W_A	0.936	0.831	0.884	0.744	-0.105	-0.14
C6_03650C_A	0.991	0.796	0.919	NA	-0.195	NA
C6_03660C_A	0.936	0.863	0.866	0.826	-0.073	-0.04
C6_03670C_A	0.775	0.952	0.808	NA	0.178	NA
C6_03690W_A	0.815	0.841	0.819	0.759	0.026	-0.06
C6_03700W_A	0.793	0.841	0.841	0.759	0.049	-0.082
C6_03710W_A	0.76	0.834	0.767	0.805	0.074	0.038
C6_03720W_A	0.734	0.917	0.727	0.756	0.183	0.029
C6_03730C_A	0.824	0.866	0.77	0.829	0.042	0.059
C6_03740W_A	0.747	0.903	0.768	0.84	0.156	0.072
C6_03750C_A	0.909	0.886	0.902	0.817	-0.023	-0.084
C6_03760C_A	0.991	0.95	0.942	0.941	-0.041	-0.001
C6_03770C_A	0.991	0.719	0.987	0.747	-0.271	-0.24
C6_03780C_A	0.805	0.821	0.819	0.832	0.015	0.013
C6_03790C_A	0.909	0.767	0.925	0.794	-0.142	-0.131
C6_03800C_A	0.913	0.991	0.9	0.904	0.078	0.004
C6_03810W_A	0.94	0.943	0.904	0.871	0.004	-0.033
C6_03820C_A	0.775	0.917	0.711	0.931	0.142	0.221
C6_03830W_A	0.913	0.95	0.915	0.84	0.036	-0.075
C6_03840C_A	0.918	0.772	0.873	0.757	-0.146	-0.116
C6_03850C_A	0.936	0.839	0.867	0.675	-0.097	-0.192
C6_03860C_A	0.948	0.959	0.812	0.89	0.011	0.078
C6_03880W_A	0.864	0.847	0.824	0.842	-0.017	0.017
C6_03890C_A	0.918	0.852	0.942	0.764	-0.066	-0.178
C6_03900W_A	0.998	0.725	0.938	0.766	-0.273	-0.172
C6_03910C_A	0.866	0.861	0.826	0.793	-0.004	-0.033
C6_03920W_A	0.914	0.882	0.917	0.893	-0.032	-0.024
C6_03930W_A	0.977	0.991	0.957	0.954	0.014	-0.004
C6_03940C_A	0.83	0.838	0.804	0.863	0.009	0.058
C6_03950C_A	0.877	0.914	0.732	0.734	0.036	0.002
C6_03960W_A	0.998	0.917	0.929	0.834	-0.081	-0.095
C6_03990C_A	0.952	0.76	0.861	0.776	-0.192	-0.085
C6_04030W_A	0.866	0.741	0.839	0.763	-0.125	-0.076
C6_04040C_A	0.775	0.912	0.783	0.843	0.137	0.06
C6_04050W_A	0.943	0.945	0.908	0.822	0.002	-0.086
C6_04060W_A	0.94	0.829	0.904	0.842	-0.111	-0.063
C6_04070C_A	0.967	0.87	0.869	0.845	-0.097	-0.024
C6_04080W_A	0.886	0.877	0.902	0.868	-0.009	-0.034
C6_04100W_A	1	0.746	0.944	NA	-0.254	NA
C6_04110W_A	0.798	0.832	0.742	0.839	0.034	0.097
C6_04120C_A	0.889	1	0.804	0.963	0.111	0.159
C6_04130C_A	0.843	0.887	0.863	0.792	0.044	-0.071
C6_04140C_A	0.945	0.91	0.949	0.874	-0.035	-0.076
C6_04150W_A	0.861	0.691	0.813	0.73	-0.17	-0.083
C6_04160C_A	0.853	0.87	0.82	0.847	0.017	0.027
C6_04170C_A	0.886	0.833	0.856	0.808	-0.053	-0.048
C6_04180W_A	0.871	0.841	0.686	0.815	-0.03	0.129
C6_04190C_A	0.829	0.783	0.839	0.773	-0.046	-0.066
C6_04210C_A	0.829	0.912	0.867	0.921	0.083	0.054
C6_04220C_A	0.75	0.954	0.778	0.907	0.204	0.129
C6_04230W_A	0.954	0.831	0.781	0.846	-0.123	0.065
C6_04240W_A	0.918	0.824	0.902	0.843	-0.094	-0.059
C6_04250W_A	0.968	0.889	0.942	0.888	-0.079	-0.054
C6_04260C_A	0.936	0.862	0.908	0.847	-0.074	-0.061
C6_04270W_A	0.95	0.843	0.945	0.759	-0.107	-0.187
C6_04280W_A	0.889	0.917	0.885	0.863	0.028	-0.022
C6_04290W_A	0.831	0.88	0.761	0.869	0.049	0.107
C6_04300W_A	0.775	0.866	0.743	0.812	0.091	0.069
C6_04310W_A	0.959	0.886	0.91	0.801	-0.073	-0.109
C6_04320C_A	0.87	0.859	0.791	0.814	-0.011	0.022
C6_04330W_A	0.991	0.914	0.921	0.892	-0.077	-0.029
C6_04340W_A	0.796	0.887	0.823	0.81	0.091	-0.012
C6_04350C_A	0.894	0.774	0.851	0.755	-0.12	-0.096
C6_04360C_A	0.857	0.833	0.861	0.813	-0.024	-0.048
C6_04370W_A	0.942	0.88	0.861	0.857	-0.062	-0.004
C6_04380W_A	0.843	0.834	0.863	0.796	-0.009	-0.067
C6_04400W_A	0.977	0.821	0.975	0.792	-0.156	-0.183
C6_04410C_A	0.998	0.905	0.924	0.871	-0.094	-0.053
C6_04420W_A	0.903	0.967	0.923	0.965	0.064	0.042
C6_04430W_A	0.824	0.832	0.768	0.767	0.009	-0.001
C6_04440C_A	0.82	0.728	0.789	0.695	-0.091	-0.094
C6_04450W_A	0.877	0.803	0.873	0.692	-0.075	-0.18
C6_04470C_A	0.998	0.991	0.963	0.956	-0.007	-0.007
C6_04480C_A	0.887	0.767	0.852	0.813	-0.12	-0.039
C6_04490W_A	0.914	0.843	0.842	0.822	-0.071	-0.02
C6_04500C_A	0.945	0.967	0.888	0.87	0.022	-0.018
C6_04510C_A	0.812	0.88	0.787	0.827	0.067	0.04
C6_04520W_A	0.853	0.732	0.845	0.762	-0.121	-0.083
C6_04530C_A	0.824	0.916	0.798	0.889	0.092	0.092
C6_04540C_A	0.878	0.94	0.865	0.885	0.061	0.02
C6_04550C_A	0.975	0.743	0.905	0.704	-0.232	-0.201
C6_04560W_A	0.885	0.903	0.848	0.717	0.017	-0.131
C6_04570W_A	0.968	0.926	0.93	0.909	-0.042	-0.021
C6_04580W_A	0.886	0.759	0.856	0.713	-0.127	-0.143
C6_04590C_A	0.967	0.948	0.933	0.879	-0.019	-0.054
C6_04600W_A	0.885	0.691	0.817	0.557	-0.194	-0.26
C6_04610C_A	0.885	0.943	0.887	0.915	0.058	0.027
C6_04620C_A	0.968	0.861	0.901	0.756	-0.107	-0.145
C6_04650W_A	0.887	0.866	0.793	0.789	-0.022	-0.004
C7_00010C_A	0.859	0.701	0.86	0.685	-0.157	-0.175
C7_00020C_A	0.88	0.867	0.863	0.85	-0.013	-0.013
C7_00030W_A	0.998	0.857	0.872	0.867	-0.141	-0.006
C7_00040C_A	0.918	0.859	0.826	0.805	-0.06	-0.021
C7_00050C_A	0.887	0.734	0.877	0.802	-0.153	-0.075
C7_00060C_A	0.887	1	0.81	0.976	0.113	0.166
C7_00070C_A	0.967	0.791	0.901	NA	-0.176	NA
C7_00080C_A	0.825	0.684	0.681	0.639	-0.141	-0.042
C7_00090C_A	0.998	0.877	0.964	0.797	-0.121	-0.167
C7_00100W_A	0.878	0.678	0.884	0.654	-0.2	-0.23
C7_00110W_A	0.855	0.796	0.81	0.669	-0.059	-0.141
C7_00120W_A	0.967	0.932	0.961	0.892	-0.034	-0.068
C7_00130W_A	0.909	0.91	0.842	NA	0.001	NA
C7_00140C_A	0.968	0.998	0.933	0.883	0.03	-0.05
C7_00150W_A	0.945	0.692	0.892	0.638	-0.253	-0.254
C7_00160C_A	0.998	0.822	0.944	0.835	-0.176	-0.109
C7_00170W_A	0.83	0.926	0.844	0.862	0.096	0.018
C7_00180W_A	0.88	0.833	0.796	0.852	-0.047	0.056
C7_00190W_A	0.959	0.733	0.893	0.67	-0.226	-0.223
C7_00200W_A	0.948	0.912	0.822	0.844	-0.036	0.022
C7_00210C_A	0.835	0.752	0.745	0.677	-0.083	-0.068
C7_00220W_A	0.804	0.967	0.801	0.88	0.163	0.079
C7_00230W_A	0.913	0.766	0.88	0.732	-0.147	-0.148
C7_00240W_A	0.932	0.887	0.84	0.814	-0.045	-0.026
C7_00250C_A	0.909	0.912	0.864	0.834	0.003	-0.03
C7_00260C_A	0.959	0.801	0.879	0.711	-0.159	-0.168
C7_00270W_A	0.847	0.837	0.83	0.769	-0.011	-0.061
C7_00280W_A	0.95	0.775	0.927	0.757	-0.174	-0.17
C7_00290C_A	0.917	0.977	0.753	0.909	0.06	0.156
C7_00300W_A	0.885	0.942	0.826	0.831	0.056	0.005
C7_00310C_A	0.952	0.905	0.848	0.895	-0.048	0.047
C7_00320C_A	0.831	0.807	0.79	0.77	-0.024	-0.02
C7_00330C_A	0.847	0.878	0.829	0.789	0.032	-0.04
C7_00340C_A	0.975	0.905	0.836	0.807	-0.07	-0.029
C7_00350C_A	0.803	0.932	0.839	0.91	0.13	0.071
C7_00360W_A	0.913	0.774	0.85	0.683	-0.14	-0.167
C7_00370W_A	0.977	0.75	0.89	0.71	-0.227	-0.18
C7_00380W_A	0.784	0.889	0.777	0.895	0.105	0.118
C7_00390W_A	0.945	0.889	0.77	0.803	-0.056	0.033
C7_00400W_A	0.968	0.88	0.91	0.775	-0.088	-0.135
C7_00410C_A	0.831	0.914	0.78	0.759	0.082	-0.022
C7_00420C_A	0.991	0.801	0.888	0.774	-0.19	-0.114
C7_00430W_A	1	NA	0.91	NA	NA	NA
C7_00440C_A	0.912	0.746	0.789	NA	-0.166	NA
C7_00450C_A	0.856	0.821	0.831	0.736	-0.035	-0.095
C7_00460W_A	0.998	0.807	0.971	0.81	-0.191	-0.161
C7_00470C_A	0.936	0.952	0.893	0.927	0.016	0.034
C7_00480W_A	0.853	0.762	0.849	0.703	-0.091	-0.146
C7_00490C_A	0.998	0.932	0.91	0.929	-0.066	0.02
C7_00500W_A	0.91	0.877	0.801	0.857	-0.033	0.056
C7_00510W_A	0.829	0.829	0.804	0.838	0	0.034
C7_00520W_A	0.998	0.7	0.962	0.72	-0.299	-0.242
C7_00530C_A	0.975	0.886	0.95	0.83	-0.088	-0.12
C7_00550C_A	0.95	0.83	0.904	0.798	-0.12	-0.107
C7_00560C_A	0.91	0.942	0.883	0.912	0.032	0.029
C7_00570W_A	0.959	0.767	0.896	0.774	-0.193	-0.123
C7_00580C_A	0.968	0.834	0.951	0.84	-0.134	-0.111
C7_00590W_A	0.766	0.975	0.786	0.88	0.209	0.094
C7_00600C_A	0.851	0.77	0.859	0.738	-0.081	-0.121
C7_00610C_A	0.871	0.83	0.744	0.802	-0.041	0.058
C7_00620W_A	0.95	0.977	0.872	0.863	0.027	-0.009
C7_00630C_A	0.95	0.977	0.88	0.957	0.027	0.077
C7_00640C_A	0.774	0.968	0.77	0.898	0.195	0.128
C7_00650W_A	0.78	0.775	0.682	0.67	-0.006	-0.012
C7_00660W_A	0.877	0.968	0.811	0.904	0.091	0.093
C7_00670C_A	0.831	0.784	0.769	0.775	-0.048	0.006
C7_00680W_A	0.991	0.847	0.954	0.792	-0.143	-0.162
C7_00690W_A	0.968	0.882	0.945	0.854	-0.085	-0.092
C7_00700W_A	0.959	0.846	0.944	0.86	-0.113	-0.084
C7_00710W_A	0.977	0.863	0.937	0.819	-0.113	-0.118
C7_00720W_A	0.968	0.863	0.951	0.825	-0.105	-0.127
C7_00730W_A	0.843	0.948	0.857	0.821	0.105	-0.036
C7_00740W_A	0.895	0.767	0.88	0.745	-0.129	-0.135
C7_00750W_A	0.954	0.852	0.897	0.769	-0.102	-0.129
C7_00760C_A	0.91	0.811	0.867	0.795	-0.098	-0.072
C7_00770W_A	0.909	0.975	0.849	0.963	0.066	0.115
C7_00780W_A	0.936	0.905	0.929	0.876	-0.031	-0.053
C7_00790W_A	0.952	0.863	0.926	0.89	-0.089	-0.036
C7_00800C_A	0.968	0.834	0.95	NA	-0.133	NA
C7_00810W_A	0.936	0.83	0.902	0.759	-0.106	-0.143
C7_00820W_A	0.877	0.735	0.833	0.749	-0.142	-0.084
C7_00830C_A	0.991	0.895	0.971	0.797	-0.095	-0.173
C7_00840C_A	0.941	0.843	0.924	0.846	-0.098	-0.078
C7_00850W_A	0.945	0.905	0.871	0.843	-0.04	-0.027
C7_00860W_A	0.967	0.856	0.918	0.801	-0.111	-0.117
C7_00870W_A	0.991	0.886	0.931	0.881	-0.105	-0.05
C7_00880C_A	0.977	NA	0.905	NA	NA	NA
C7_00890C_A	0.959	0.889	0.963	0.806	-0.07	-0.157
C7_00900W_A	0.835	0.894	0.759	0.901	0.059	0.142
C7_00910C_A	0.877	0.862	0.828	0.842	-0.015	0.014
C7_00920C_A	0.977	0.998	0.972	0.872	0.022	-0.1
C7_00930W_A	0.873	0.801	0.779	NA	-0.072	NA
C7_00940W_A	0.932	0.801	0.929	0.714	-0.131	-0.216
C7_00950W_A	0.959	0.886	0.843	0.814	-0.073	-0.029
C7_00960W_A	0.968	0.82	0.928	0.817	-0.149	-0.111
C7_00970C_A	0.822	NA	0.812	NA	NA	NA
C7_00980W_A	0.879	0.846	0.875	0.742	-0.033	-0.133
C7_00990W_A	0.888	0.905	0.856	0.764	0.016	-0.092
C7_01000C_A	0.831	0.998	0.844	0.925	0.167	0.081
C7_01010W_A	0.903	0.829	0.819	0.741	-0.074	-0.078
C7_01020C_A	0.918	0.866	0.85	0.811	-0.053	-0.039
C7_01030C_A	0.852	0.796	0.848	NA	-0.056	NA
C7_01040C_A	0.909	0.805	0.819	0.762	-0.104	-0.057
C7_01050W_A	0.932	0.792	0.933	0.756	-0.14	-0.177
C7_01060W_A	0.859	0.847	0.892	0.83	-0.012	-0.062
C7_01070C_A	0.975	0.859	0.94	0.843	-0.116	-0.097
C7_01100C_A	0.952	0.76	0.95	0.776	-0.192	-0.174
C7_01130C_A	0.866	0.88	0.735	0.807	0.014	0.071
C7_01150W_A	0.838	0.738	0.824	NA	-0.101	NA
C7_01160C_A	0.866	0.844	0.827	0.764	-0.021	-0.063
C7_01170C_A	0.856	0.88	0.859	0.734	0.024	-0.125
C7_01180W_A	0.879	0.82	0.891	0.837	-0.059	-0.054
C7_01190W_A	0.878	0.867	0.808	0.832	-0.012	0.025
C7_01200C_A	0.998	0.746	0.982	NA	-0.253	NA
C7_01210C_A	0.932	0.87	0.906	0.892	-0.063	-0.014
C7_01220W_A	0.871	0.853	0.888	0.782	-0.018	-0.106
C7_01230C_A	0.775	0.905	0.782	0.83	0.13	0.048
C7_01250W_A	0.952	0.843	0.956	0.801	-0.109	-0.156
C7_01270C_A	0.936	0.853	0.884	0.807	-0.083	-0.077
C7_01280C_A	0.841	0.977	0.784	0.912	0.136	0.128
C7_01290W_A	0.889	0.801	0.888	0.757	-0.087	-0.131
C7_01300C_A	0.838	0.7	0.799	0.761	-0.139	-0.038
C7_01310C_A	0.859	0.784	0.817	0.815	-0.074	-0.003
C7_01320W_A	0.918	0.831	0.82	0.793	-0.088	-0.027
C7_01330C_A	0.932	0.926	0.898	0.834	-0.006	-0.064
C7_01340W_A	0.932	0.959	0.856	0.882	0.027	0.026
C7_01350C_A	0.968	0.926	0.947	0.896	-0.041	-0.051
C7_01360C_A	0.788	0.735	0.819	0.759	-0.053	-0.061
C7_01370W_A	0.894	0.887	0.836	0.831	-0.007	-0.005
C7_01380W_A	0.998	0.7	0.931	0.74	-0.299	-0.192
C7_01390W_A	0.758	0.873	0.739	NA	0.115	NA
C7_01400C_A	0.821	0.977	0.81	NA	0.156	NA
