# scores_kozak_Sp.txt
# Scores of ATG context against Kozak sequence, S. pombe 972h-
# Kozak sequence derived from 256 highest-translated genes by RPF
#
# Gene: Sp systematic gene name
# aATG.scorekn: score of annotated ATG against narrow Kozak sequence (NNNNATG)
# d1.scorekn: score of 1st downstream ATG against narrow
# xx.scorekw: analogous scores against wide Kozak sequence (NNNNNNNNNNATG)
#
# Edward Wallace, June 2018
Gene	aATG.scorekn	d1.scorekn	d1vsan
SPBC1198.08	0.724	0.932	0.208
SPBC1198.10c	0.745	0.763	0.018
SPBC1198.09	0.869	0.881	0.012
SPBC1198.11c	0.763	0.772	0.009
SPBC1198.13c	0.95	0.81	-0.14
SPBC1198.12	0.898	0.884	-0.014
SPBC1198.14c	0.91	0.99	0.081
SPBC660.05	0.951	0.845	-0.106
SPAC13A11.03	0.956	0.756	-0.2
SPBC660.06	0.99	0.682	-0.308
SPBC660.07	0.778	0.829	0.051
SPBC660.08	0.769	0.696	-0.072
SPBC660.09	0.827	0.81	-0.018
SPBC660.10	0.789	0.688	-0.101
SPBC660.11	0.763	0.892	0.128
SPBC660.12c	0.862	0.795	-0.067
SPAC13A11.04c	0.867	0.738	-0.129
SPBC660.13c	0.958	0.755	-0.203
SPBC660.14	0.951	0.934	-0.016
SPBC660.15	0.926	0.893	-0.033
SPBC660.16	0.9	0.838	-0.062
SPBC660.17c	0.931	0.956	0.025
SPBC31E1.01c	0.834	0.789	-0.045
SPAC13A11.05	0.916	0.99	0.074
SPBC31E1.02c	0.941	0.949	0.008
SPBC31E1.03	0.949	0.713	-0.237
SPBC31E1.04	0.891	1	0.109
SPBC31E1.05	0.809	0.796	-0.012
SPBC31E1.06	0.788	0.89	0.102
SPBC800.02	0.772	0.99	0.218
SPBC800.03	0.786	0.731	-0.055
SPBC800.04c	0.96	0.939	-0.021
SPBC800.05c	0.928	0.861	-0.068
SPBC800.06	0.99	0.907	-0.083
SPBC800.07c	0.88	0.827	-0.054
SPBC800.08	0.949	0.803	-0.146
SPBC800.09	0.835	0.819	-0.016
SPBC800.14c	0.926	0.838	-0.088
SPBC800.10c	0.879	0.772	-0.107
SPBC800.11	0.958	0.702	-0.256
SPBC800.12c	0.934	0.823	-0.111
SPBC800.13	0.916	0.88	-0.035
SPBC1773.01	0.753	0.96	0.208
SPBC1773.02c	0.771	0.86	0.089
SPAC13A11.06	0.958	0.821	-0.137
SPBC1773.03c	0.859	0.893	0.033
SPBC1773.04	0.939	0.783	-0.156
SPBC1773.05c	1	0.932	-0.068
SPBC1773.06c	0.875	0.714	-0.161
SPBC1773.07c	0.966	0.916	-0.049
SPBC1773.08c	1	0.958	-0.042
SPAC3H8.02	0.939	0.847	-0.092
SPBC1773.09c	0.95	0.84	-0.11
SPBC1773.10c	0.99	0.827	-0.163
SPBC1773.11c	0.88	0.822	-0.058
SPBC1773.12	0.956	1	0.044
SPBC1773.13	0.949	0.829	-0.12
SPBC1773.14	0.915	0.905	-0.01
SPBC1773.15	0.91	0.81	-0.1
SPBC1773.16c	0.822	0.918	0.096
SPAC3H8.03	0.879	0.732	-0.147
SPBC1773.17c	0.822	0.724	-0.098
SPBP26C9.02c	0.916	0.84	-0.076
SPBP26C9.03c	0.89	0.781	-0.109
SPBC1271.15c	0.95	0.757	-0.193
SPBC1271.14	0.793	0.876	0.083
SPBC1271.13	0.99	0.875	-0.115
SPBC1271.12	0.809	0.731	-0.078
SPBC1271.11	0.877	0.771	-0.107
SPBC1271.10c	0.941	0.776	-0.166
SPBC1271.09	0.95	0.755	-0.194
SPBC1271.08c	0.828	0.777	-0.051
SPAC3H8.04	0.804	0.931	0.128
SPBC1271.07c	0.865	0.852	-0.013
SPBC1271.06c	0.877	0.869	-0.008
SPBC1271.05c	0.9	0.99	0.09
SPBC1271.04c	0.924	0.74	-0.185
SPBC1271.03c	0.814	0.844	0.031
SPAPJ695.02	0.91	0.77	-0.139
SPAC3H8.05c	0.772	0.732	-0.04
SPBC1271.02	0.99	0.771	-0.219
SPBC1271.01c	0.763	0.9	0.137
SPBC106.01	0.695	0.783	0.088
SPBC106.02c	0.91	0.827	-0.082
SPBC106.03	0.99	0.77	-0.22
SPBC106.04	0.878	0.901	0.022
SPBC106.05c	0.99	0.795	-0.195
SPBC106.06	0.966	0.84	-0.126
SPBC106.07c	0.778	0.891	0.114
SPBC106.08c	0.96	0.932	-0.028
SPBC106.09	0.878	0.869	-0.009
SPBC106.10	0.779	0.777	-0.001
SPBC106.11c	0.918	0.748	-0.17
SPBC106.12c	0.829	0.862	0.033
SPBC106.13	0.958	0.817	-0.141
SPBC106.14c	0.899	0.884	-0.015
SPBC106.15	0.763	0.823	0.06
SPBC106.16	0.934	0.81	-0.124
SPBC106.17c	0.867	0.803	-0.064
SPBC106.18	0.91	0.856	-0.054
SPBC106.19	0.879	0.866	-0.012
SPBC106.20	1	0.724	-0.276
SPBC582.03	0.789	0.956	0.167
SPBC582.04c	0.844	0.728	-0.116
SPBC582.05c	0.816	0.822	0.007
SPBC582.06c	0.899	0.889	-0.01
SPBC582.07c	0.827	0.934	0.107
SPBC582.08	0.753	0.879	0.126
SPBC582.09	0.829	0.949	0.12
SPBC582.10c	0.774	0.932	0.158
SPAC3H8.06	0.884	0.794	-0.09
SPBC428.01c	0.699	0.924	0.225
SPBC428.02c	0.99	0.763	-0.227
SPBC428.03c	0.799	0.787	-0.011
SPBC428.04	0.932	0.713	-0.22
SPBC428.05c	0.918	0.821	-0.097
SPBC428.06c	0.924	0.731	-0.193
SPBC428.08c	0.728	0.798	0.07
SPAC3H8.07c	0.849	0.777	-0.072
SPBC428.07	0.859	0.719	-0.14
SPBC428.10	0.966	0.891	-0.075
SPBC428.11	0.968	0.79	-0.178
SPBC428.12c	0.81	0.739	-0.071
SPBC428.14	0.968	0.847	-0.122
SPAC3H8.08c	0.931	0.9	-0.032
SPBC428.13c	0.732	0.949	0.217
SPBC428.15	0.931	0.876	-0.055
SPBC428.16c	0.956	0.949	-0.007
SPBC428.17c	0.878	0.932	0.054
SPBC428.18	0.862	0.878	0.016
SPBC428.19c	0.859	0.769	-0.09
SPBC428.20c	0.829	0.772	-0.057
SPBC902.02c	0.778	0.879	0.101
SPBC902.03	0.812	0.719	-0.093
SPBC902.04	0.966	0.901	-0.065
SPBC902.05c	0.956	0.771	-0.185
SPBC902.06	0.714	0.88	0.166
SPBC1685.01	0.849	0.939	0.09
SPBC1685.02c	0.99	0.842	-0.148
SPBC1685.03	0.898	0.754	-0.145
SPBC1685.16	0.77	0.814	0.043
SPBC1685.04	0.95	0.77	-0.18
SPAC3H8.09c	0.862	0.828	-0.034
SPBC1685.05	0.91	0.789	-0.121
SPBC1685.06	0.899	0.869	-0.03
SPBC1685.07c	0.753	0.879	0.126
SPBC1685.08	0.89	0.753	-0.138
SPBC1685.09	1	0.898	-0.102
SPBC1685.10	0.96	0.828	-0.132
SPBC1685.11	0.872	0.789	-0.083
SPBC1685.17	0.859	0.695	-0.164
SPBC1685.12c	0.789	0.9	0.111
SPBC1685.13	0.939	0.739	-0.2
SPBC1685.14c	0.956	0.695	-0.261
SPBC1685.15c	0.793	0.821	0.028
SPBC649.02	0.95	0.731	-0.219
SPAPJ695.01c	0.847	0.753	-0.095
SPAC3H8.10	0.951	0.879	-0.071
SPBC649.03	0.87	0.918	0.049
SPBC649.04	0.829	0.713	-0.116
SPBC649.05	0.867	0.818	-0.048
SPBC354.01	0.932	0.878	-0.054
SPBC354.02c	0.949	0.99	0.041
SPBC354.03	0.893	0.893	0
SPAC1F3.01	0.941	0.74	-0.202
SPBC354.04	0.788	0.783	-0.005
SPBC354.05c	0.843	0.809	-0.035
SPBC354.06	0.838	0.838	-0
SPBC354.07c	0.898	0.869	-0.029
SPBC354.08c	0.916	0.872	-0.043
SPBC354.09c	0.878	0.875	-0.003
SPAC1F3.02c	0.754	0.917	0.163
SPBC354.10	0.99	0.829	-0.161
SPBC354.11c	0.86	0.915	0.055
SPBC354.12	0.956	0.841	-0.115
SPBC354.13	0.856	0.956	0.1
SPBC354.14c	0.789	0.951	0.161
SPBC354.15	0.907	0.789	-0.118
SPBC1706.01	0.949	0.837	-0.112
SPAC1F3.03	0.939	0.829	-0.11
SPBC1706.03	0.827	0.917	0.089
SPBC839.02	0.724	0.795	0.071
SPBC839.03c	0.784	0.823	0.039
SPBC839.04	0.924	0.863	-0.062
SPBC839.20	0.862	0.822	-0.04
SPAC1F3.04c	0.81	0.77	-0.04
SPBC839.05c	1	0.814	-0.186
SPBC839.19	0.782	0.831	0.049
SPBC839.06	0.788	0.951	0.162
SPBC839.07	0.916	0.719	-0.197
SPBC839.08c	0.894	0.756	-0.138
SPBC839.09c	0.95	0.789	-0.16
SPBC839.10	0.905	0.794	-0.111
SPAC1F3.05	0.934	0.862	-0.072
SPBC839.11c	0.867	0.763	-0.104
SPBC839.12	0.966	0.835	-0.131
SPBC839.13c	0.949	0.803	-0.146
SPBC839.14c	0.898	0.874	-0.025
SPBC839.15c	0.99	0.916	-0.074
SPBC839.16	0.724	0.829	0.105
SPBC839.17c	0.939	0.861	-0.078
SPBC115.03	0.905	0.753	-0.152
SPAC1F3.06c	0.83	0.699	-0.13
SPBC115.02c	0.91	0.746	-0.164
SPBC115.01c	0.878	0.731	-0.148
SPBC947.15c	0.99	0.916	-0.074
SPBC947.14c	0.931	0.867	-0.064
SPBC947.13	0.843	0.829	-0.014
SPBC947.12	1	0.74	-0.26
SPBC947.11c	0.794	0.932	0.138
SPBC947.10	0.777	0.695	-0.082
SPAC1F3.07c	0.827	0.779	-0.048
SPBC947.09	0.99	0.918	-0.072
SPBC947.08c	0.838	0.763	-0.075
SPBC947.07	0.82	0.99	0.17
SPBC947.06c	0.956	0.932	-0.024
SPBC947.05c	0.91	0.879	-0.031
SPBC947.04	0.901	0.77	-0.13
SPBC947.03c	0.804	0.876	0.073
SPBC947.02	0.796	0.866	0.07
SPBC947.01	0.932	0.677	-0.255
SPBPJ4664.01	0.878	0.866	-0.013
SPBPJ4664.02	0.907	0.81	-0.096
SPBPJ4664.03	0.956	0.838	-0.118
SPBPJ4664.04	0.881	0.821	-0.06
SPAC1F3.08c	0.901	0.869	-0.031
SPBPJ4664.05	0.827	0.827	0
SPBPJ4664.06	0.91	0.839	-0.072
SPBC119.01	0.949	0.764	-0.185
SPBC119.02	0.916	0.787	-0.129
SPBC119.03	0.9	0.778	-0.122
SPBC119.04	0.956	0.866	-0.089
SPAC1F3.09	0.939	0.713	-0.227
SPBC119.05c	0.939	0.9	-0.04
SPBC119.06	0.86	0.9	0.04
SPBC119.07	0.784	0.756	-0.028
SPBC119.08	0.867	0.821	-0.046
SPBC119.09c	0.99	0.764	-0.226
SPBC119.10	0.905	0.812	-0.093
SPBC119.11c	0.744	0.91	0.166
SPBC119.12	0.795	0.932	0.137
SPBC119.13c	0.891	0.772	-0.119
SPBC119.18	0.905	0.907	0.002
SPBC119.16c	0.828	0.724	-0.104
SPBC119.14	1	0.91	-0.09
SPBC119.15	1	0.835	-0.165
SPBC119.17	0.931	0.88	-0.051
SPBC577.03c	0.788	0.99	0.202
SPBC577.02	1	0.867	-0.133
SPBC577.04	0.99	0.932	-0.058
SPBC577.05c	0.761	0.763	0.002
SPAC1F3.10c	0.876	0.77	-0.106
SPBC577.06c	0.84	0.932	0.092
SPBC577.07	0.99	0.874	-0.116
SPBC577.08c	0.828	0.793	-0.035
SPBC577.09	0.746	0.849	0.103
SPBC577.10	0.99	0.795	-0.195
SPBC577.11	0.739	0.949	0.21
SPBC577.12	0.804	0.774	-0.03
SPBC577.13	0.812	0.939	0.127
SPBC577.14c	0.881	0.746	-0.136
SPBC577.15c	0.99	0.83	-0.16
SPAC1D4.01	0.764	0.861	0.097
SPBC530.01	0.915	0.702	-0.213
SPBC530.02	0.918	0.805	-0.114
SPBC530.16	0.95	0.78	-0.17
SPBC530.03c	0.968	0.737	-0.231
SPBC530.04	0.707	0.918	0.211
SPBC530.05	0.756	0.918	0.162
SPBC530.06c	0.916	0.861	-0.055
SPAC1D4.02c	0.928	0.789	-0.139
SPBC530.07c	0.835	0.753	-0.082
SPBC530.08	1	0.874	-0.126
SPBC530.09c	0.819	0.797	-0.022
SPBC530.10c	0.99	0.721	-0.269
SPBC530.11c	0.915	0.932	0.017
SPBC530.12c	0.863	0.784	-0.078
SPAC1D4.03c	0.706	0.932	0.226
SPBC530.13	0.95	0.932	-0.018
SPBC530.14c	0.878	0.866	-0.012
SPBC530.15c	0.779	0.91	0.131
SPBC36.01c	0.804	0.746	-0.058
SPBC36.02c	0.966	0.853	-0.113
SPBC36.03c	1	0.885	-0.115
SPBC36.13	1	1	0
SPBC36.04	0.968	0.806	-0.163
SPBC36.05c	0.905	0.737	-0.168
SPBC36.06c	0.95	0.763	-0.186
SPBC36.08c	0.884	0.706	-0.178
SPBC36.07	0.934	0.91	-0.025
SPBC36.09	0.869	0.763	-0.106
SPAC1D4.05c	0.951	0.751	-0.199
SPBC36.10	0.872	0.845	-0.027
SPBC36.11	0.84	0.795	-0.045
SPBC36.12c	0.95	0.804	-0.146
SPBC713.02c	0.885	0.829	-0.056
SPBC713.03	0.95	0.757	-0.193
SPBC713.04c	0.932	0.781	-0.152
SPBC713.05	0.866	0.804	-0.062
SPBC713.06	0.899	0.696	-0.202
SPAC1D4.04	0.861	0.932	0.072
SPBC713.07c	0.867	0.897	0.03
SPBC713.08	0.877	0.856	-0.021
SPBC713.09	0.893	0.874	-0.019
SPBC713.10	0.99	0.86	-0.13
SPBC713.11c	0.99	NA	NA
SPBC713.13	0.951	0.88	-0.07
SPBC713.12	0.966	0.827	-0.138
SPAC1D4.06c	0.763	0.746	-0.017
SPBC216.01c	0.918	0.764	-0.154
SPBC216.02	0.782	0.918	0.137
SPBC216.03	0.918	0.746	-0.173
SPBC216.04c	0.951	0.893	-0.058
SPBC216.05	0.816	0.783	-0.033
SPBC216.06c	0.739	0.783	0.044
SPBC216.07c	0.891	0.835	-0.056
SPAC1D4.07c	0.811	0.869	0.058
SPBC646.02	0.822	0.88	0.058
SPBC646.03	0.746	0.939	0.193
SPBC646.04	0.875	0.884	0.009
SPBC646.05c	0.891	0.795	-0.096
SPBC646.06c	0.814	0.713	-0.101
SPBC646.07c	1	0.749	-0.251
SPBC646.08c	0.951	0.932	-0.018
SPBC646.09c	0.868	0.856	-0.012
SPBC646.10c	0.907	0.688	-0.219
SPAC1D4.08	0.939	0.829	-0.11
SPBC646.12c	0.891	0.827	-0.064
SPBC646.11	0.838	0.96	0.122
SPBC646.13	0.869	0.862	-0.007
SPBC646.14c	0.878	0.907	0.028
SPBC646.15c	0.95	0.84	-0.11
SPBC646.16	0.876	0.881	0.005
SPBC646.17c	0.84	0.795	-0.045
SPAC1D4.09c	0.905	0.861	-0.044
SPBP35G2.16c	0.887	0.721	-0.165
SPBP35G2.17	0.805	0.756	-0.048
SPBP35G2.02	0.872	0.78	-0.092
SPBP35G2.03c	0.833	0.956	0.123
SPBP35G2.04c	0.939	0.99	0.051
SPBP35G2.05c	0.859	0.748	-0.111
SPBP35G2.06c	0.844	1	0.156
SPBP35G2.07	0.891	0.719	-0.172
SPAC1D4.10	0.822	0.784	-0.038
SPBP35G2.08c	0.811	0.829	0.018
SPBP35G2.09	0.95	0.779	-0.171
SPBP35G2.10	0.875	0.893	0.018
SPBP35G2.11c	0.928	0.773	-0.156
SPBP35G2.12	0.95	0.877	-0.073
SPBP35G2.13c	0.893	0.777	-0.115
SPBP35G2.14	0.69	0.894	0.205
SPBC146.01	0.82	0.811	-0.009
SPAC1D4.11c	0.95	0.9	-0.05
SPBC146.02	0.916	0.779	-0.137
SPBC146.03c	0.763	0.682	-0.081
SPBC146.04	0.958	0.771	-0.187
SPBC146.05c	1	0.939	-0.061
SPBC146.06c	0.772	0.763	-0.008
SPBC146.07	0.918	0.855	-0.063
SPBC146.08c	0.899	0.939	0.04
SPBC146.09c	0.878	0.892	0.013
SPBC146.10	1	0.892	-0.108
SPBC146.11c	0.867	0.714	-0.152
SPBC146.12	0.721	0.889	0.168
SPBC146.13c	0.713	0.884	0.172
SPBC146.14c	0.939	0.706	-0.233
SPBC337.02c	0.867	NA	NA
SPBC337.03	0.96	0.872	-0.088
SPBC337.04	0.763	0.838	0.074
SPBC337.05c	1	0.823	-0.177
SPBC337.06c	0.949	0.918	-0.031
SPBC337.07c	0.779	0.878	0.1
SPBC337.08c	0.884	0.898	0.014
SPBC337.09	0.956	0.833	-0.123
SPBC337.10c	0.949	0.874	-0.075
SPBC337.11	0.822	0.829	0.007
SPBC337.12	0.966	0.99	0.024
SPBC337.13c	0.99	0.746	-0.244
SPBC337.14	0.941	0.893	-0.048
SPBC337.15c	0.951	0.918	-0.032
SPBC337.16	0.739	0.958	0.219
SPBC1734.01c	0.828	0.804	-0.024
SPBC1734.02c	0.99	0.835	-0.155
SPBC1734.03	0.739	0.806	0.068
SPBC1734.04	0.966	0.879	-0.087
SPBC1734.05c	0.918	0.822	-0.096
SPAC1D4.12	0.941	0.754	-0.188
SPBC1734.06	0.91	0.779	-0.131
SPBC1734.07c	0.939	0.968	0.029
SPBC1734.08	0.949	0.771	-0.178
SPBC1734.09	0.867	0.761	-0.106
SPBC1734.10c	0.707	0.714	0.007
SPBC1734.11	0.941	0.706	-0.235
SPBC1734.12c	0.806	0.847	0.041
SPBC1734.13	0.89	0.706	-0.184
SPBC1734.14c	0.868	0.868	0
SPBC1734.15	0.95	0.706	-0.243
SPBC1734.16c	0.924	0.74	-0.185
SPBC1709.01	0.968	0.804	-0.165
SPBC1709.02c	0.795	0.859	0.065
SPBC1709.03	0.735	0.682	-0.053
SPBC1709.04c	0.95	0.713	-0.237
SPAC1D4.13	0.918	0.874	-0.045
SPBC1709.05	0.932	0.695	-0.237
SPBC1709.06	0.788	0.856	0.068
SPBC1709.07	0.956	0.939	-0.017
SPBC1709.20	0.795	0.728	-0.067
SPBC1709.08	0.763	0.99	0.227
SPBC1709.09	0.763	0.84	0.076
SPBC1709.10c	0.874	0.793	-0.08
SPBC1709.11c	0.859	0.822	-0.037
SPBC1709.12	0.89	0.731	-0.16
SPBC1709.13c	0.763	1	0.237
SPBC1709.14	0.932	0.732	-0.201
SPBC1709.15c	0.924	0.828	-0.096
SPBC1709.16c	0.847	0.749	-0.098
SPBC1709.17	0.798	0.763	-0.035
SPBC1709.18	0.811	0.772	-0.04
SPBC1709.19c	0.875	0.761	-0.114
SPAC1D4.14	0.714	0.835	0.121
SPBC409.04c	0.99	0.764	-0.226
SPBC409.03	0.695	0.889	0.194
SPBC409.05	0.956	0.898	-0.058
SPBC409.06	0.96	0.789	-0.171
SPBC409.07c	0.771	0.763	-0.009
SPBC409.08	0.931	0.779	-0.153
SPBC409.09c	0.89	0.81	-0.081
SPAC22F3.13	0.786	0.89	0.104
SPBC409.10	0.829	0.699	-0.13
SPBC409.11	0.96	0.713	-0.248
SPBC409.12c	0.862	0.932	0.07
SPBC409.23	0.968	0.789	-0.179
SPBC409.13	0.9	0.739	-0.161
SPBC409.14c	0.907	0.88	-0.026
SPBC409.15	0.863	0.881	0.019
SPBC409.16c	0.811	0.707	-0.104
SPBC409.17c	0.821	0.804	-0.018
SPBC409.19c	1	0.916	-0.084
SPBC409.18	0.924	0.823	-0.101
SPBC409.20c	0.96	0.713	-0.247
SPBC409.21	0.949	0.763	-0.186
SPBC1306.01c	0.95	0.739	-0.211
SPBC1306.02	0.907	0.966	0.059
SPBC4.01	0.907	0.746	-0.161
SPBC4.02c	0.763	0.784	0.021
SPBC4.03c	1	1	0
SPBC4.04c	0.951	0.731	-0.22
SPBC4.05	0.759	0.721	-0.038
SPBC4.06	0.863	0.829	-0.034
SPBC4.07c	0.99	0.787	-0.203
SPBC725.01	0.859	0.884	0.025
SPAC22F3.12c	0.699	0.809	0.109
SPBC725.02	0.99	0.918	-0.072
SPBC725.03	0.968	0.99	0.022
SPBC725.04	0.956	0.894	-0.062
SPBC725.05c	0.928	0.99	0.062
SPBC725.06c	0.956	0.878	-0.078
SPBC725.07	0.99	0.877	-0.113
SPBC725.08	0.939	0.865	-0.074
SPBC725.09c	0.99	0.763	-0.227
SPAC22F3.11c	0.828	0.835	0.007
SPBC725.10	0.78	0.823	0.043
SPBC725.11c	0.795	0.828	0.033
SPBC725.12	0.814	NA	NA
SPBC725.13c	0.879	0.861	-0.018
SPBC725.14	0.739	0.867	0.128
SPBC725.15	0.958	0.941	-0.017
SPBC725.16	0.819	0.828	0.009
SPBC725.17c	0.9	0.764	-0.135
SPBC651.01c	0.806	0.756	-0.05
SPAC22F3.10c	0.916	0.823	-0.093
SPBC651.02	0.91	0.828	-0.081
SPBC651.03c	0.839	0.99	0.151
SPBC651.04	0.739	0.753	0.014
SPBC651.05c	0.738	0.859	0.121
SPBC651.06	0.893	0.746	-0.147
SPBC651.07	0.806	0.811	0.005
SPBC651.08c	0.99	0.764	-0.226
SPBC651.09c	0.96	0.877	-0.083
SPBC651.10	1	0.783	-0.217
SPAC22F3.09c	0.82	0.773	-0.047
SPBC651.11c	0.739	0.81	0.072
SPBC651.12c	0.831	1	0.169
SPBC31A8.01c	0.9	0.755	-0.144
SPBC3D6.02	0.932	0.713	-0.219
SPBC3D6.03c	0.755	0.951	0.195
SPBC3D6.15	0.99	0.918	-0.072
SPBC3D6.04c	0.915	0.796	-0.118
SPAC1F8.01	0.939	0.838	-0.101
SPAC22F3.08c	0.861	0.74	-0.121
SPBC3D6.05	0.795	0.894	0.099
SPBC3D6.06c	0.956	0.884	-0.072
SPBC3D6.07	0.867	0.837	-0.029
SPBC3D6.08c	0.789	0.889	0.1
SPBC3D6.09	0.949	0.699	-0.25
SPBC3D6.10	0.907	0.795	-0.112
SPBC3D6.11c	0.99	0.861	-0.129
SPBC3D6.12	0.894	0.806	-0.089
SPBC3D6.13c	0.956	0.82	-0.136
SPAC22F3.07c	0.891	0.84	-0.051
SPBC30B4.09	0.877	0.95	0.073
SPBC3D6.16	0.779	0.958	0.179
SPBC30B4.01c	0.756	0.847	0.09
SPBC30B4.02c	0.838	0.724	-0.114
SPBC30B4.03c	0.833	0.905	0.072
SPBC30B4.04c	0.9	0.796	-0.104
SPAC22F3.15	0.87	0.773	-0.097
SPBC30B4.05	0.905	0.74	-0.165
SPBC30B4.06c	0.869	0.907	0.038
SPBC30B4.07c	0.796	0.74	-0.056
SPBC30B4.08	0.753	0.756	0.004
SPBC27B12.01c	0.99	0.753	-0.237
SPBC27B12.02	0.811	0.763	-0.048
SPBC27B12.03c	0.99	0.74	-0.251
SPBC27B12.04c	0.856	0.784	-0.072
SPBC27B12.05	0.931	0.706	-0.225
SPAC22F3.06c	0.746	0.95	0.204
SPBC27B12.06	0.772	0.95	0.178
SPBC27B12.07	1	0.823	-0.177
SPBC27B12.08	0.818	0.713	-0.105
SPBC27B12.09c	0.84	0.88	0.04
SPBC27B12.10c	0.891	0.89	-0.001
SPBC27B12.11c	0.688	0.907	0.219
SPBC27B12.14	0.875	0.821	-0.054
SPBC27B12.12c	0.968	0.956	-0.012
SPAC22F3.05c	0.918	0.874	-0.045
SPBC27B12.13	0.934	0.905	-0.029
SPBC8D2.01	0.918	0.82	-0.098
SPBC8D2.02c	0.916	0.79	-0.125
SPBC8D2.03c	0.91	0.83	-0.08
SPBC8D2.04	0.819	0.796	-0.022
SPBC8D2.05c	0.842	0.99	0.148
SPBC8D2.06	0.885	0.789	-0.096
SPBC8D2.07c	0.916	0.867	-0.049
SPBC8D2.09c	0.932	0.763	-0.17
SPBC8D2.10c	0.795	0.784	-0.011
SPBC8D2.11	0.769	0.866	0.098
SPBC8D2.23	0.82	0.879	0.059
SPBC8D2.12c	0.874	0.779	-0.095
SPBC8D2.14c	0.772	0.875	0.103
SPBC8D2.13	0.844	0.877	0.033
SPBC8D2.15	0.884	0.928	0.044
SPBC8D2.16c	0.793	0.872	0.079
SPBC8D2.17	0.96	0.788	-0.172
SPAC22F3.04	0.753	0.939	0.186
SPBC8D2.18c	0.89	0.932	0.042
SPBC8D2.20c	0.809	0.721	-0.087
SPBC8D2.19	0.916	0.86	-0.056
SPBC17A3.01c	1	0.822	-0.178
SPBC17A3.02	0.941	0.702	-0.239
SPBC17A3.03c	0.764	0.737	-0.027
SPBC17A3.04c	0.931	0.939	0.008
SPBC17A3.05c	1	0.783	-0.217
SPBC17A3.06	0.867	0.69	-0.177
SPBC17A3.07	0.867	0.958	0.092
SPBC17A3.08	0.784	0.713	-0.072
SPBC17A3.09c	0.861	0.739	-0.122
SPBC17A3.10	0.739	0.744	0.005
SPBC691.01	0.714	0.899	0.185
SPBC691.02c	0.724	0.834	0.11
SPBC691.03c	0.99	0.949	-0.041
SPBC691.04	0.849	0.91	0.061
SPAC22F3.03c	0.901	0.788	-0.113
SPBC691.05c	0.866	0.779	-0.087
SPBP22H7.02c	0.863	0.865	0.002
SPBP22H7.03	0.99	0.891	-0.099
SPBP22H7.04	0.809	0.798	-0.011
SPBP22H7.05c	0.844	0.874	0.029
SPBP22H7.06	0.867	0.787	-0.079
SPBP22H7.07	0.753	0.706	-0.047
SPBP22H7.08	1	0.738	-0.262
SPBP22H7.09c	0.843	0.875	0.032
SPAC22F3.02	0.885	0.875	-0.01
SPBC32H8.01c	0.86	0.932	0.073
SPBC32H8.02c	0.99	0.77	-0.22
SPBC32H8.15	0.788	0.91	0.121
SPBC32H8.04c	0.788	0.907	0.119
SPBC32H8.03	0.897	0.788	-0.109
SPBC32H8.05	0.884	0.764	-0.12
SPBC32H8.06	0.894	0.88	-0.014
SPBC32H8.07	0.951	0.83	-0.121
SPAC1F8.02c	0.833	0.829	-0.004
SPAC1296.01c	0.915	0.731	-0.184
SPBC32H8.08c	0.877	0.868	-0.01
SPBC32H8.09	0.755	0.746	-0.01
SPBC32H8.10	0.99	0.893	-0.097
SPBC32H8.11	0.829	0.778	-0.051
SPBC32H8.12c	0.866	0.874	0.007
SPBC32H8.13c	0.951	0.771	-0.18
SPBC11B10.01	0.99	0.855	-0.135
SPBC11B10.02c	0.876	0.879	0.003
SPAC1296.02	0.91	0.695	-0.215
SPBC11B10.03	0.887	0.874	-0.013
SPBC11B10.04c	0.91	0.774	-0.136
SPBC11B10.05c	0.721	0.732	0.01
SPBC11B10.06	0.788	0.81	0.022
SPBC11B10.07c	0.865	0.934	0.069
SPBC11B10.08	0.89	0.82	-0.07
SPBC11B10.09	0.844	0.784	-0.06
SPBC11B10.10c	0.892	0.958	0.067
SPAC1296.03c	0.788	0.861	0.073
SPBC1215.01	0.859	0.849	-0.01
SPBC1215.02c	0.916	0.695	-0.221
SPBC83.01	0.81	0.868	0.058
SPBC83.02c	0.966	0.83	-0.136
SPBC83.03c	0.763	0.9	0.136
SPBC83.04	0.9	0.695	-0.205
SPBC83.05	0.905	0.77	-0.135
SPAC1296.04	0.823	0.84	0.017
SPBC83.06c	0.891	0.763	-0.128
SPBC83.07	0.793	1	0.207
SPBC83.08	0.9	0.941	0.042
SPBC83.09c	0.956	0.763	-0.193
SPBC83.10	0.99	0.713	-0.278
SPBC83.11	0.777	0.756	-0.021
SPBC83.12	0.877	0.77	-0.107
SPBC83.13	0.95	0.772	-0.178
SPAC1296.05c	0.731	0.881	0.151
SPBC83.14c	0.862	0.81	-0.052
SPBC83.15	0.96	0.763	-0.198
SPBC83.16c	0.99	0.699	-0.291
SPBC83.19c	0.773	0.79	0.018
SPBC83.17	0.9	0.779	-0.121
SPBC83.18c	0.828	0.881	0.053
SPBC29B5.01	0.88	0.829	-0.051
SPBC29B5.02c	0.941	0.828	-0.113
SPBC29B5.03c	1	0.796	-0.204
SPBC29B5.04c	0.739	0.828	0.089
SPBC27.01c	0.932	0.754	-0.179
SPBC27.02c	0.719	0.764	0.045
SPBC27.03	1	0.939	-0.061
